,FlightId,FareClass,FareClassRank,FareValue,Booking,RatioToNextClass
0,YULCDG215135,Q,1,100,5,0.6666666666666666
1,YULCDG215135,X,2,150,7,0.75
2,YULCDG215135,V,3,200,4,0.2
3,YULCDG215135,Y,4,1000,2,1.0
4,YULCDG215136,Q,1,120,1,0.6
5,YULCDG215136,X,2,200,4,0.7407407407407407
6,YULCDG215136,V,3,270,5,0.3
7,YULCDG215136,Y,4,900,15,1.0
8,YULCDG215137,Q,1,120,1,0.6
9,YULCDG215137,X,2,200,4,0.7407407407407407
10,YULCDG215137,V,3,270,5,0.3
11,YULCDG215137,Y,4,900,15,1.0
12,YULCDG215138,Q,1,120,1,0.6
13,YULCDG215138,X,2,200,4,0.7407407407407407
14,YULCDG215138,V,3,270,5,0.3
15,YULCDG215138,Y,4,900,15,1.0
16,YULCDG215139,Q,1,120,1,0.6
17,YULCDG215139,X,2,200,4,0.7407407407407407
18,YULCDG215139,V,3,270,5,0.3
19,YULCDG215139,Y,4,900,15,1.0
